Ref_Date,GEO,Geographical classification,AGE,SEX,UNIT,Vector,Coordinate,Value
2000/2002,Canada,0,At birth,Both sexes,Life expectancy,v53826672,1.1.1.1,79.6
2005/2007,Canada,0,At birth,Both sexes,Life expectancy,v53826672,1.1.1.1,80.7
2006/2008,Canada,0,At birth,Both sexes,Life expectancy,v53826672,1.1.1.1,80.9
2007/2009,Canada,0,At birth,Both sexes,Life expectancy,v53826672,1.1.1.1,81.1
2000/2002,Canada,0,At birth,Both sexes,"Low 95% confidence interval, life expectancy",v53826673,1.1.1.2,79.5
2005/2007,Canada,0,At birth,Both sexes,"Low 95% confidence interval, life expectancy",v53826673,1.1.1.2,80.6
2006/2008,Canada,0,At birth,Both sexes,"Low 95% confidence interval, life expectancy",v53826673,1.1.1.2,80.9
2007/2009,Canada,0,At birth,Both sexes,"Low 95% confidence interval, life expectancy",v53826673,1.1.1.2,81.1
2000/2002,Canada,0,At birth,Both sexes,"High 95% confidence interval, life expectancy",v53826674,1.1.1.3,79.6
2005/2007,Canada,0,At birth,Both sexes,"High 95% confidence interval, life expectancy",v53826674,1.1.1.3,80.7
2006/2008,Canada,0,At birth,Both sexes,"High 95% confidence interval, life expectancy",v53826674,1.1.1.3,80.9
2007/2009,Canada,0,At birth,Both sexes,"High 95% confidence interval, life expectancy",v53826674,1.1.1.3,81.1
2000/2002,Canada,0,At birth,Both sexes,Statistically different from reference period five years previous (number),v53826675,1.1.1.7,..
2005/2007,Canada,0,At birth,Both sexes,Statistically different from reference period five years previous (number),v53826675,1.1.1.7,1.0
2006/2008,Canada,0,At birth,Both sexes,Statistically different from reference period five years previous (number),v53826675,1.1.1.7,..
2007/2009,Canada,0,At birth,Both sexes,Statistically different from reference period five years previous (number),v53826675,1.1.1.7,..
2000/2002,Canada,0,At birth,Males,Life expectancy,v53826676,1.1.2.1,77.0
2005/2007,Canada,0,At birth,Males,Life expectancy,v53826676,1.1.2.1,78.3
2006/2008,Canada,0,At birth,Males,Life expectancy,v53826676,1.1.2.1,78.5
2007/2009,Canada,0,At birth,Males,Life expectancy,v53826676,1.1.2.1,78.8
2000/2002,Canada,0,At birth,Males,"Low 95% confidence interval, life expectancy",v53826677,1.1.2.2,76.9
2005/2007,Canada,0,At birth,Males,"Low 95% confidence interval, life expectancy",v53826677,1.1.2.2,78.2
2006/2008,Canada,0,At birth,Males,"Low 95% confidence interval, life expectancy",v53826677,1.1.2.2,78.5
2007/2009,Canada,0,At birth,Males,"Low 95% confidence interval, life expectancy",v53826677,1.1.2.2,78.7
2000/2002,Canada,0,At birth,Males,"High 95% confidence interval, life expectancy",v53826678,1.1.2.3,77.0
2005/2007,Canada,0,At birth,Males,"High 95% confidence interval, life expectancy",v53826678,1.1.2.3,78.3
2006/2008,Canada,0,At birth,Males,"High 95% confidence interval, life expectancy",v53826678,1.1.2.3,78.6
2007/2009,Canada,0,At birth,Males,"High 95% confidence interval, life expectancy",v53826678,1.1.2.3,78.8
2000/2002,Canada,0,At birth,Males,Statistically different from reference period five years previous (number),v53826679,1.1.2.7,..
2005/2007,Canada,0,At birth,Males,Statistically different from reference period five years previous (number),v53826679,1.1.2.7,1.0
2006/2008,Canada,0,At birth,Males,Statistically different from reference period five years previous (number),v53826679,1.1.2.7,..
2007/2009,Canada,0,At birth,Males,Statistically different from reference period five years previous (number),v53826679,1.1.2.7,..
2000/2002,Canada,0,At birth,Females,Life expectancy,v53826680,1.1.3.1,82.0
2005/2007,Canada,0,At birth,Females,Life expectancy,v53826680,1.1.3.1,83.0
2006/2008,Canada,0,At birth,Females,Life expectancy,v53826680,1.1.3.1,83.1
2007/2009,Canada,0,At birth,Females,Life expectancy,v53826680,1.1.3.1,83.3
2000/2002,Canada,0,At birth,Females,"Low 95% confidence interval, life expectancy",v53826681,1.1.3.2,82.0
2005/2007,Canada,0,At birth,Females,"Low 95% confidence interval, life expectancy",v53826681,1.1.3.2,82.9
2006/2008,Canada,0,At birth,Females,"Low 95% confidence interval, life expectancy",v53826681,1.1.3.2,83.1
2007/2009,Canada,0,At birth,Females,"Low 95% confidence interval, life expectancy",v53826681,1.1.3.2,83.3
2000/2002,Canada,0,At birth,Females,"High 95% confidence interval, life expectancy",v53826682,1.1.3.3,82.1
2005/2007,Canada,0,At birth,Females,"High 95% confidence interval, life expectancy",v53826682,1.1.3.3,83.0
2006/2008,Canada,0,At birth,Females,"High 95% confidence interval, life expectancy",v53826682,1.1.3.3,83.2
2007/2009,Canada,0,At birth,Females,"High 95% confidence interval, life expectancy",v53826682,1.1.3.3,83.3
2000/2002,Canada,0,At birth,Females,Statistically different from reference period five years previous (number),v53826683,1.1.3.7,..
2005/2007,Canada,0,At birth,Females,Statistically different from reference period five years previous (number),v53826683,1.1.3.7,1.0
2006/2008,Canada,0,At birth,Females,Statistically different from reference period five years previous (number),v53826683,1.1.3.7,..
2007/2009,Canada,0,At birth,Females,Statistically different from reference period five years previous (number),v53826683,1.1.3.7,..
2000/2002,Canada,0,At age 65,Both sexes,Life expectancy,v53826684,1.2.1.1,18.9
2005/2007,Canada,0,At age 65,Both sexes,Life expectancy,v53826684,1.2.1.1,19.8
2006/2008,Canada,0,At age 65,Both sexes,Life expectancy,v53826684,1.2.1.1,20.0
2007/2009,Canada,0,At age 65,Both sexes,Life expectancy,v53826684,1.2.1.1,20.2
2000/2002,Canada,0,At age 65,Both sexes,"Low 95% confidence interval, life expectancy",v53826685,1.2.1.2,18.9
2005/2007,Canada,0,At age 65,Both sexes,"Low 95% confidence interval, life expectancy",v53826685,1.2.1.2,19.8
2006/2008,Canada,0,At age 65,Both sexes,"Low 95% confidence interval, life expectancy",v53826685,1.2.1.2,20.0
2007/2009,Canada,0,At age 65,Both sexes,"Low 95% confidence interval, life expectancy",v53826685,1.2.1.2,20.1
2000/2002,Canada,0,At age 65,Both sexes,"High 95% confidence interval, life expectancy",v53826686,1.2.1.3,18.9
2005/2007,Canada,0,At age 65,Both sexes,"High 95% confidence interval, life expectancy",v53826686,1.2.1.3,19.9
2006/2008,Canada,0,At age 65,Both sexes,"High 95% confidence interval, life expectancy",v53826686,1.2.1.3,20.0
2007/2009,Canada,0,At age 65,Both sexes,"High 95% confidence interval, life expectancy",v53826686,1.2.1.3,20.2
2000/2002,Canada,0,At age 65,Both sexes,Statistically different from reference period five years previous (number),v53826687,1.2.1.7,..
2005/2007,Canada,0,At age 65,Both sexes,Statistically different from reference period five years previous (number),v53826687,1.2.1.7,1.0
2006/2008,Canada,0,At age 65,Both sexes,Statistically different from reference period five years previous (number),v53826687,1.2.1.7,..
2007/2009,Canada,0,At age 65,Both sexes,Statistically different from reference period five years previous (number),v53826687,1.2.1.7,..
2000/2002,Canada,0,At age 65,Males,Life expectancy,v53826688,1.2.2.1,17.0
2005/2007,Canada,0,At age 65,Males,Life expectancy,v53826688,1.2.2.1,18.1
2006/2008,Canada,0,At age 65,Males,Life expectancy,v53826688,1.2.2.1,18.3
2007/2009,Canada,0,At age 65,Males,Life expectancy,v53826688,1.2.2.1,18.5
