Geography,Code,Not_Arthritis,Not_Asthma,"Not_Body mass index, self-reported, adult (18 years and over), overweight or obese","Not_Body mass index, self-reported, youth (12 to 17 years old), overweight or obese",Not_COPD,"Not_Current smoker, daily or occasional",Not_Diabetes,"Fruit and vegetable consumption, 5 times or more per day",Has a regular medical doctor,Not_HeavyDrinking,Not_High blood pressure,"Influenza immunization, less than one year ago",Not_Injuries in the past 12 months causing limitation of normal activities,"Life satisfaction, satisfied or very satisfied",Not_MoodDisorder,"Not_Physical activity during leisure-time, inactive","Physical activity during leisure-time, moderately active or active","Sense of belonging to local community, somewhat strong or very strong","Wears a helmet when riding a bicycle, always",Lifeexpectancy_score,LifeExpectancy,Score,Z-Score,latitude,longitude
"Eastern, Newfoundland and Labrador",1011-C,80.1,92.3,31.7,67.6,94.8,81.3,93.1,26.2,90.5,73.9,79.2,24.1,84.9,93.1,93.3,48.8,48.8,74.5,54,0.919487,78.8,66.65597,-0.2875,49.588056,-57.909286
"Central, Newfoundland and Labrador",1012-I,74.8,91.1,28.3,64.6,95.2,76.9,89,18.3,85.9,78.2,71,27.3,90.2,91.6,93.3,37.2,37.2,78.3,18.9,0.925321,79.3,62.41127,-2.70032,47.600402,-53.249055
"Western, Newfoundland and Labrador",1013-I,71.9,91.9,35.5,NA,95.2,77.4,86.9,30.5,91,77.1,73.2,30.2,83.2,93.2,93.7,55.5,55.5,82.1,38,0.920653,78.9,66.46951,-0.39349,47.617966,-52.83869
"Labrador-Grenfell, Newfoundland and Labrador",1014-H,85,89.3,19.3,NA,NA,80.8,93.3,26.6,66.2,78.6,79.7,28.2,88.1,95.2,90.7,47,47,83.3,NA,0.911319,78.1,64.65949,-1.42236,52.941257,-66.910567
"Bas-Saint-Laurent, Quebec",2401-C,86.8,91.5,44,NA,96.1,80.8,92.2,44,82.9,84.5,80.6,21.1,89.5,92.7,95.6,52.9,52.9,64.5,32.2,0.946324,81.1,67.67086,0.289391,47.829071,-69.545458
"Saguenay - Lac-Saint-Jean, Quebec",2402-C,87.5,90.3,49.2,NA,91.4,76.8,92.8,39.9,83.1,71.4,79.9,31.2,86.4,93.6,93.5,51.8,51.8,70.9,34.9,0.939323,80.5,67.22839,0.037875,48.428053,-71.068492
"la Capitale-Nationale, Quebec",2403-A,90.9,93,47.3,NA,96.7,81.6,91.9,48.4,81.3,76.4,83,24.9,82.5,93.2,95.3,50.5,50.5,52,40.5,0.952159,81.6,67.41327,0.14297,46.811691,-71.321997
"la Mauricie et du Centre-du-Quebec, Quebec",2404-C,88.2,92.1,45.1,NA,92.9,75,91.3,46.5,84.4,79.3,82,28.2,84.8,92.6,94.6,50.7,50.7,62.5,22.7,0.941657,80.7,66.55482,-0.345,46.563698,-72.752416
"l'Estrie, Quebec",2405-A,89.9,95.4,52.4,NA,97.5,83.3,92.9,50.4,80.2,79.1,86.2,27.1,82.5,92.7,95.4,54.6,54.6,66.9,45.7,0.956826,82,69.88194,1.546237,45.32843,-72.482078
"Montreal, Quebec",2406-G,91.1,91.8,50.8,83.6,95.7,77.5,93.1,44.4,61.8,78.5,83.7,21.9,84.4,90.1,94.6,51.5,51.5,58.3,36.7,0.952159,81.6,67.09761,-0.03646,45.501689,-73.567256
"l'Outaouais, Quebec",2407-A,84.4,90.1,42.4,62.8,95.4,77.6,93.4,45.9,81.6,77.2,86.3,20.1,81.7,96,92.1,57.7,57.7,52.4,45.5,0.934656,80.1,67.06173,-0.05686,45.676129,-75.87625
"l'Abitibi-Temiscamingue, Quebec",2408-C,90.3,87.8,46,NA,97.5,75.1,93.8,45.3,70.1,79.9,84.4,22.8,87,92.7,92.6,50.5,50.5,69.3,22.8,0.929988,79.7,66.28053,-0.50092,48.133434,-78.122433
"la Cote-Nord, Quebec",2409-H,86.9,91,37.1,73.7,95.7,77.4,90.9,41,77.6,73.4,78.6,28.1,89.6,92.9,94.7,53.1,53.1,76.5,29.7,0.925321,79.3,67.09627,-0.03723,45.637508,-73.913829
"Nord-du-Quebec, Quebec",2410-H,92,91.9,43.3,NA,94.5,78.4,NA,48.1,85.1,72.7,90.5,36.1,84.1,95.9,NA,62.7,62.7,80.9,30.7,0.887981,76.1,67.67576,0.292179,52.939916,-73.549136
"la Gaspesie -Ìles-de-la-Madeleine, Quebec",2411-I,82.8,89.6,38.7,NA,93.9,76,88.5,45.5,79,80.5,77.9,34.6,90.6,92.4,97,47.1,47.1,79.9,41.5,0.925321,79.3,67.55396,0.222944,49.094471,-66.692797
"la Chaudilere-Appalaches, Quebec",2412-D,89.7,93.4,45.2,NA,NA,79.3,95.3,46.9,91.7,78.9,84.7,20.1,85.2,92.9,94.7,48.7,48.7,56.8,29.7,0.953326,81.7,65.71407,-0.82291,46.698168,-71.299277
"Laval, Quebec",2413-A,91.1,94.1,43.5,NA,98.2,76.3,93.4,52.5,72.9,87.8,83.8,22.3,85.4,94.8,94.1,48.8,48.8,52.2,30.9,0.961494,82.4,66.94008,-0.12601,45.606649,-73.712409
"LanaudiÌere, Quebec",2414-A,89.2,92.9,43.8,69.1,95.7,76.4,91.8,45.3,81.9,83.1,80.7,20.4,84.4,94.9,96,54,54,54.7,31.1,0.943991,80.9,67.0172,-0.08217,52.939916,-73.549136
"Laurentides, Quebec",2415-A,91.4,85,43,76,94.1,76.6,92.3,48.1,71.8,75.8,79.5,23.1,85.1,93.6,94.9,54.4,54.4,52.5,35.3,0.94049,80.6,66.39202,-0.43754,47.32,-70.83
