"Geography (2,3)",Age group,Sex,Indicators,"Characteristics (50,51,52,53,54,71,84,87)",2013
"Eastern Regional Integrated Health Authority, Newfoundland and Labrador [1011-C] ","Total, 12 years and over",Both sexes,"Life satisfaction, satisfied or very satisfied (72,73)",Percent,93.1
"Eastern Regional Integrated Health Authority, Newfoundland and Labrador [1011-C] ","Total, 12 years and over",Both sexes,"Arthritis (20,21)",Percent,19.9
"Eastern Regional Integrated Health Authority, Newfoundland and Labrador [1011-C] ","Total, 12 years and over",Both sexes,"Diabetes (22,23)",Percent,6.9
"Eastern Regional Integrated Health Authority, Newfoundland and Labrador [1011-C] ","Total, 12 years and over",Both sexes,Asthma (24),Percent,7.7
"Eastern Regional Integrated Health Authority, Newfoundland and Labrador [1011-C] ","Total, 12 years and over",Both sexes,High blood pressure (25),Percent,20.8
"Eastern Regional Integrated Health Authority, Newfoundland and Labrador [1011-C] ","Total, 12 years and over",Both sexes,"Current smoker, daily or occasional (28,29,30,31,33)",Percent,18.7
"Eastern Regional Integrated Health Authority, Newfoundland and Labrador [1011-C] ","Total, 12 years and over",Both sexes,Heavy drinking (15),Percent,26.1
"Eastern Regional Integrated Health Authority, Newfoundland and Labrador [1011-C] ","Total, 12 years and over",Both sexes,"Fruit and vegetable consumption, 5 times or more per day (37,63)",Percent,26.2
"Eastern Regional Integrated Health Authority, Newfoundland and Labrador [1011-C] ","Total, 12 years and over",Both sexes,"Physical activity during leisure-time, moderately active or active (38,39)",Percent,48.8
"Eastern Regional Integrated Health Authority, Newfoundland and Labrador [1011-C] ","Total, 12 years and over",Both sexes,"Physical activity during leisure-time, inactive (38,39)",Percent,51.2
"Eastern Regional Integrated Health Authority, Newfoundland and Labrador [1011-C] ","Total, 12 years and over",Both sexes,"Body mass index, self-reported, adult (18 years and over), overweight or obese (40,41,42,43)",Percent,68.3
"Eastern Regional Integrated Health Authority, Newfoundland and Labrador [1011-C] ","Total, 12 years and over",Both sexes,"Body mass index, self-reported, youth (12 to 17 years old), overweight or obese (40,41,64)",Percent,32.4
"Eastern Regional Integrated Health Authority, Newfoundland and Labrador [1011-C] ","Total, 12 years and over",Both sexes,"Sense of belonging to local community, somewhat strong or very strong (45)",Percent,74.5
"Eastern Regional Integrated Health Authority, Newfoundland and Labrador [1011-C] ","Total, 12 years and over",Both sexes,Has a regular medical doctor (46),Percent,90.5
"Eastern Regional Integrated Health Authority, Newfoundland and Labrador [1011-C] ","Total, 12 years and over",Both sexes,"Contact with a medical doctor in the past 12 months (47,48,88)",Percent,82.4
"Eastern Regional Integrated Health Authority, Newfoundland and Labrador [1011-C] ","Total, 12 years and over",Both sexes,"Influenza immunization, less than one year ago (49,74)",Percent,24.1
"Eastern Regional Integrated Health Authority, Newfoundland and Labrador [1011-C] ","Total, 12 years and over",Both sexes,Mood disorder (70),Percent,6.7
"Eastern Regional Integrated Health Authority, Newfoundland and Labrador [1011-C] ","Total, 12 years and over",Both sexes,"Wears a helmet when riding a bicycle, always (75,88)",Percent,54
"Eastern Regional Integrated Health Authority, Newfoundland and Labrador [1011-C] ","Total, 12 years and over",Both sexes,"Injuries in the past 12 months causing limitation of normal activities (80,88)",Percent,15.1
"Eastern Regional Integrated Health Authority, Newfoundland and Labrador [1011-C] ","Total, 12 years and over",Both sexes,Chronic obstructive pulmonary disease (COPD) (81),Percent,5.2
"Central Regional Integrated Health Authority, Newfoundland and Labrador [1012-I] ","Total, 12 years and over",Both sexes,"Life satisfaction, satisfied or very satisfied (72,73)",Percent,91.6
"Central Regional Integrated Health Authority, Newfoundland and Labrador [1012-I] ","Total, 12 years and over",Both sexes,"Arthritis (20,21)",Percent,25.2
"Central Regional Integrated Health Authority, Newfoundland and Labrador [1012-I] ","Total, 12 years and over",Both sexes,"Diabetes (22,23)",Percent,11
"Central Regional Integrated Health Authority, Newfoundland and Labrador [1012-I] ","Total, 12 years and over",Both sexes,Asthma (24),Percent,8.9
"Central Regional Integrated Health Authority, Newfoundland and Labrador [1012-I] ","Total, 12 years and over",Both sexes,High blood pressure (25),Percent,29
"Central Regional Integrated Health Authority, Newfoundland and Labrador [1012-I] ","Total, 12 years and over",Both sexes,"Current smoker, daily or occasional (28,29,30,31,33)",Percent,23.1
"Central Regional Integrated Health Authority, Newfoundland and Labrador [1012-I] ","Total, 12 years and over",Both sexes,Heavy drinking (15),Percent,21.8
"Central Regional Integrated Health Authority, Newfoundland and Labrador [1012-I] ","Total, 12 years and over",Both sexes,"Fruit and vegetable consumption, 5 times or more per day (37,63)",Percent,18.3
"Central Regional Integrated Health Authority, Newfoundland and Labrador [1012-I] ","Total, 12 years and over",Both sexes,"Physical activity during leisure-time, moderately active or active (38,39)",Percent,37.2
"Central Regional Integrated Health Authority, Newfoundland and Labrador [1012-I] ","Total, 12 years and over",Both sexes,"Physical activity during leisure-time, inactive (38,39)",Percent,62.8
"Central Regional Integrated Health Authority, Newfoundland and Labrador [1012-I] ","Total, 12 years and over",Both sexes,"Body mass index, self-reported, adult (18 years and over), overweight or obese (40,41,42,43)",Percent,71.7
