latitude,longitude,accuracy,status code
49.588056,-57.909286,5,200
47.600402,-53.249055,5,200
47.617966,-52.83869,5,200
52.941257,-66.910567,5,200
47.829071,-69.545458,3,200
48.428053,-71.068492,3,200
46.811691,-71.321997,3,200
46.563698,-72.752416,3,200
45.32843,-72.482078,3,200
45.501689,-73.567256,3,200
45.676129,-75.87625,3,200
48.133434,-78.122433,3,200
45.637508,-73.913829,5,200
52.939916,-73.549136,3,200
49.094471,-66.692797,3,200
46.698168,-71.299277,3,200
45.606649,-73.712409,3,200
52.939916,-73.549136,3,200
47.32,-70.83,3,200
45.449739,-73.441872,3,200
42.096468,-80.16746,5,200
34.063344,-117.650888,3,200
43.356764,-80.312518,5,200
42.927685,-79.876197,3,200
41.893075,-87.641136,5,200
43.589045,-79.64412,3,200
43.610651,-79.493265,5,200
36.988483,-78.486105,3,200
41.893395,-87.620287,5,200
34.063344,-117.650888,3,200
45.580048,-74.702882,3,200
44.901642,-79.575821,3,200
42.215613,-79.834216,3,200
34.063344,-117.650888,3,200
47.645917,-84.795152,3,200
43.119786,-80.410396,3,200
44.176314,-80.818429,3,200
42.777721,-81.182653,3,200
44.468308,-81.109455,5,200
42.927685,-79.876197,3,200
44.730934,-78.805732,5,200
43.532537,-79.874484,3,200
43.250021,-79.866091,3,200
43.588046,-77.745208,3,200
43.641657,-81.691156,3,200
42.404803,-82.191038,3,200
44.231172,-76.485954,3,200
43.052709,-82.040714,3,200
44.854741,-76.01297,5,200
42.98695,-81.243177,3,200
42.926461,-78.965821,3,200
45.40335,-75.742785,5,200
45.42153,-75.697193,3,200
43.184007,-80.721442,3,200
43.67664,-79.784842,3,200
44.89881,-76.248559,3,200
44.270818,-78.392045,5,200
48.494135,-81.170126,3,200
45.638308,-77.167403,3,200
43.6589,-79.336599,5,200
46.49,-81.01,3,200
48.380895,-89.247682,3,200
47.830803,-80.31949,3,200
43.464258,-80.52041,3,200
43.55428,-80.260363,5,200
42.314937,-83.036363,3,200
43.021923,-79.890962,3,200
43.653226,-79.383184,3,200
49.572655,-101.694949,3,200
50.391798,-105.523657,3,200
49.904249,-109.483829,5,200
50.440497,-104.601367,3,200
51.768669,-106.471574,5,200
52.133214,-106.670046,3,200
51.19836,-108.032525,3,200
52.866164,-104.591587,5,200
53.199583,-105.770293,3,200
51.449507,-105.445433,5,200
23.270994,-106.425594,5,200
51.024005,-114.108013,3,200
53.933271,-116.576503,3,200
53.528452,-113.588571,3,200
23.270994,-106.425594,5,200
