Geography,latitude,longitude,accuracy,status code
"Annapolis Valley, Nova Scotia [1223-C] ",44.973533,-64.981175,8,200
"Brant County, Ontario [3527-A] ",43.141841,-80.260768,3,200
"Calgary, Alberta [4832-B] ",50.990952,-114.136226,3,200
"Cape Breton,Nova Scotia [1258-I] ",46.214471,-59.962166,5,200
"Capital, Nova Scotia [1269-A] ",46.266586,-63.149606,8,200
"Central East, Ontario [3509] ",43.605095,-79.632376,8,200
"Central, Ontario [3508] ",43.134766,-79.128296,3,200
"Central, Newfoundland and Labrador [1012-I] ",47.551693,-52.771142,5,200
"Central West, Ontario [3505] ",43.576283,-79.64462,5,200
"Central, Alberta [4833-E] ",44.948767,-122.994009,8,200
"Champlain, Ontario [3511] ",45.394913,-75.135252,8,200
"Chatham-Kent, Ontario [3540-C] ",42.264895,-81.984977,9,200
"City of Hamilton, Ontario [3537-A] ",43.248258,-79.810524,3,200
"City of Ottawa, Ontario [3551-B] ",45.415817,-75.667688,9,200
"City of Toronto, Ontario [3595-G] ",43.596209,-79.513664,9,200
"Colchester East Hants/Cumberland, Nova Scotia [1230-C] ",45.038926,-63.712632,3,200
"Cypress, Saskatchewan [4703-D] ",49.904249,-109.483829,5,200
"Algoma, Ontario [3526-C] ",49.215649,-84.776806,5,200
"Durham, Ontario [3530-B] ",44.199078,-78.98953,5,200
"Eastern Ontario, Ontario [3558-A] ",43.6589,-79.336599,5,200
"Eastern, Newfoundland and Labrador [1011-C] ",49.588056,-57.909286,5,200
"Edmonton, Alberta [4834-B] ",53.528452,-113.588571,3,200
"Elgin-St. Thomas, Ontario [3531-A] ",42.767743,-81.238653,3,200
"Erie St. Clair, Ontario [3501] ",43.248702,-79.853566,5,200
"Five Hills, Saskatchewan [4702-D] ",50.391798,-105.523657,3,200
"Fraser, British Columbia [5920] (86)",49.159766,-122.918499,8,200
"Grey Bruce, Ontario [3533-D] ",44.468308,-81.109455,5,200
"Haldimand-Norfolk, Ontario [3534-A] ",43.170585,-80.257315,3,200
"Haliburton, Kawartha, Pine Ridge, Ontario [3535-A] ",44.042975,-77.735537,3,200
"Halton, Ontario [3536-B] ",45.355296,-75.939192,5,200
"Hamilton Niagara Haldimand Brant, Ontario [3504] ","42.927685,-79.876197",,,602
"Hastings and Prince Edward Counties, Ontario [3538-A] ",44.061042,-77.562637,8,200
"Heartland, Saskatchewan [4707-D] ",51.470286,-109.162298,3,200
"Huron County, Ontario [3539-D] ",43.778838,-81.396469,5,200
"Interior, British Columbia [5910] (86)",49.482142,-119.575525,3,200
"Interlake-Eastern, Manitoba [4603-E] (11)",50.14301,-96.871791,3,200
"Kelsey Trail, Saskatchewan [4708-D] ",52.866164,-104.591587,5,200
"Kingston, Frontenac and Lennox and Addington, Ontario [3541-A] ",44.222141,-76.571997,5,200
