Geography
Annapolis Valley, Nova Scotia [1223-C] 
Brant County, Ontario [3527-A] 
Calgary, Alberta [4832-B] 
Cape Breton,Nova Scotia [1258-I] 
Capital, Nova Scotia [1269-A] 
Central East, Ontario [3509] 
Central, Ontario [3508] 
Central, Newfoundland and Labrador [1012-I] 
Central West, Ontario [3505] 
Central, Alberta [4833-E] 
Champlain, Ontario [3511] 
Chatham-Kent, Ontario [3540-C] 
City of Hamilton, Ontario [3537-A] 
City of Ottawa, Ontario [3551-B] 
City of Toronto, Ontario [3595-G] 
Colchester East Hants/Cumberland, Nova Scotia [1230-C] 
Cypress, Saskatchewan [4703-D] 
Algoma, Ontario [3526-C] 
Durham, Ontario [3530-B] 
Eastern Ontario, Ontario [3558-A] 
Eastern, Newfoundland and Labrador [1011-C] 
Edmonton, Alberta [4834-B] 
Elgin-St. Thomas, Ontario [3531-A] 
Erie St. Clair, Ontario [3501] 
Five Hills, Saskatchewan [4702-D] 
Fraser, British Columbia [5920] (86)
Grey Bruce, Ontario [3533-D] 
Haldimand-Norfolk, Ontario [3534-A] 
Haliburton, Kawartha, Pine Ridge, Ontario [3535-A] 
Halton, Ontario [3536-B] 
Hamilton Niagara Haldimand Brant, Ontario [3504] 
Hastings and Prince Edward Counties, Ontario [3538-A] 
Heartland, Saskatchewan [4707-D] 
Huron County, Ontario [3539-D] 
Interior, British Columbia [5910] (86)
Interlake-Eastern, Manitoba [4603-E] (11)
Kelsey Trail, Saskatchewan [4708-D] 
Kingston, Frontenac and Lennox and Addington, Ontario [3541-A] 
Labrador-Grenfell, Newfoundland and Labrador [1014-H] 
Lambton, Ontario [3542-A] 
Leeds, Grenville and Lanark, Ontario [3543-A] 
Mamawetan/Keewatin/Athabasca, Saskatchewan [4714-F] (12)
Middlesex-London, Ontario [3544-A] 
Mississauga Halton, Ontario [3506] 
Niagara Area, Ontario [3546-A] 
North Bay Parry Sound, Ontario [3547-C] (9)
North East, Ontario [3513] 
North Simcoe Muskoka, Ontario [3512] 
North West, Ontario [3514] 
North, Alberta [4835-E] 
Northern, British Columbia [5950] (86)
Northern, Manitoba [4604-F] (11)
Northwest Territories [6101-E] (58)
Northwestern, Ontario [3549-H] 
Nunavut [6201-F] (14,58)
Oxford County, Ontario [3552-A] 
Peel, Ontario [3553-J] 
Perth, Ontario [3554-D] 
Peterborough County-City, Ontario [3555-A] 
Pictou County /Guysborough Antigonish Strait, Nova Scotia [1240-C] 
Porcupine, Ontario [3556-C] 
Prairie Mountain, Manitoba [4602-D] (11)
Prairie North, Saskatchewan [4710-H] 
Prince Albert Parkland, Saskatchewan [4709-H] 
Prince Edward Island [1100-A] (4)
Regina Qu'Appelle, Saskatchewan [4704-A] 
Renfrew County and, Ontario [3557-D] 
l'Abitibi-TŽmiscamingue, Quebec [2408-C] 
l'Estrie, Quebec [2405-A] 
l'Outaouais, Quebec [2407-A] 
la Capitale-Nationale, Quebec [2403-A] 
la Chaudire-Appalaches, Quebec [2412-D] 
la C™te-Nord, Quebec [2409-H] 
la GaspŽsie - ëles-de-la-Madeleine, Quebec [2411-I] 
la Mauricie et du Centre-du-QuŽbec, Quebec [2404-C] 
la MontŽrŽgie, Quebec [2416-A] 
Lanaudire, Quebec [2414-A] 
Laval, Quebec [2413-A] 
MontrŽal, Quebec [2406-G] 
Laurentides, Quebec [2415-A] 
Bas-Saint-Laurent, Quebec [2401-C] 
Nord-du-QuŽbec, Quebec [2410-H] 
Saguenay - Lac-Saint-Jean, Quebec [2402-C] 
Saskatoon, Saskatchewan [4706-A] 
Simcoe Muskoka, Ontario [3560-B] (9)
South East, Ontario [3510] 
South Shore/South West Nova, Nova Scotia [1210-C] 
South West, Ontario [3502] 
South, Alberta [4831-A] 
Southern, Manitoba [4605-D] (11)
Sudbury and, Ontario [3561-C] 
Sun Country, Saskatchewan [4701-D] 
Sunrise, Saskatchewan [4705-D] 
Thunder Bay, Ontario [3562-C] 
Timiskaming, Ontario [3563-C] 
Toronto Central, Ontario [3507] 
Vancouver, British Columbia [5930] (86)
Vancouver Island, British Columbia [5940] (86)
Waterloo, Ontario [3565-B] 
Waterloo Wellington, Ontario [3503] 
Wellington-Dufferin-Guelph, Ontario [3566-B] 
Western, Newfoundland and Labrador [1013-I] 
Windsor-Essex County, Ontario [3568-A] 
Winnipeg, Manitoba [4601-A] (11)
York, Ontario [3570-J] 
Yukon [6001-E] (58)
Moncton area, New Brunswick [1301-C] 
Saint John area, New Brunswick [1302-C] 
Fredericton area, New Brunswick [1303-C] 
Edmundston area, New Brunswick [1304-C] 
Campbellton area, New Brunswick [1305-I] 
Bathurst area, New Brunswick [1306-I] 
Miramichi area, New Brunswick [1307-I] 
